,Elapsed Minutes,Post Date,Post Title,Post URL
0,372,Jun  1,Auto HVAC technician,https://raleigh.craigslist.org/tch/d/henderson-auto-hvac-technician/7330039067.html
1,3115,May 30,Vending Machine Repair Tech./Trainee,https://raleigh.craigslist.org/tch/d/raleigh-vending-machine-repair-tech/7329235684.html
2,9952,May 25,Career in Tech (Training + Job Placement) - $75k+ Offers,https://raleigh.craigslist.org/tch/d/raleigh-career-in-tech-training-job/7327042313.html
3,10272,May 25,Remote Technical Customer Support (Dynatrace),https://raleigh.craigslist.org/tch/d/raleigh-remote-technical-customer/7326850260.html
4,28960,May 12,Tech Support / Data Entry Internship (PAID),https://raleigh.craigslist.org/tch/d/chapel-hill-tech-support-data-entry/7320609518.html
5,30318,May 11,Senior IT Engineer / Network Admin,https://raleigh.craigslist.org/tch/d/morrisville-senior-it-engineer-network/7320164677.html
6,31599,May 10,Customer Success Manager / Best Place to Work in the Triangle!,https://raleigh.craigslist.org/tch/d/raleigh-customer-success-manager-best/7319752623.html
7,31680,May 10,Warehouse/Dispatch,https://raleigh.craigslist.org/tch/d/roxboro-warehouse-dispatch/7319704026.html
8,38680,May  5,Security Analyst,https://raleigh.craigslist.org/tch/d/cary-security-analyst/7317482618.html
9,38692,May  5,Database Administrator,https://raleigh.craigslist.org/tch/d/cary-database-administrator/7317477235.html
10,38813,May  5,Full-Time I.T. Technician,https://raleigh.craigslist.org/tch/d/raleigh-full-time-it-technician/7317414757.html
11,40681,May  4,Mobility products technician,https://raleigh.craigslist.org/tch/d/raleigh-mobility-products-technician/7316660916.html
12,42053,May  3,"IT support contractor, work when you want!",https://raleigh.craigslist.org/tch/d/raleigh-it-support-contractor-work-when/7316172460.html
13,7205,May 27,Master Licensed Electricians - Sign on Bonus!!,https://fayetteville.craigslist.org/tch/d/fayetteville-master-licensed/7327959565.html
14,11573,May 24,IT Field Technician (Point of Sale),https://greensboro.craigslist.org/tch/d/greensboro-it-field-technician-point-of/7326422911.html
15,16186,May 21,Technicians needed immediately!,https://greensboro.craigslist.org/tch/d/technicians-needed-immediately/7324838734.html
16,31698,May 10,Security Consultant - CISSP,https://greensboro.craigslist.org/tch/d/greensboro-security-consultant-cissp/7319692751.html
17,31675,May 10,Warehouse/Dispatch,https://danville.craigslist.org/tch/d/roxboro-warehouse-dispatch/7319707569.html
18,41036,May  4,Material Handler - Shipping,https://danville.craigslist.org/tch/d/ridgeway-material-handler-shipping/7316612805.html
